Date,Ticker,Open,High,Low,Close,Volume,total_tweet,positif_tweet,netral_tweet,negatif_tweet,avg_polarity,avg_subjectivity,Year,YearMonth,Open_log,Close_log,High_log,Close_lag1
2019-02-11,ISAT.JK,738.1997680664062,771.7543029785156,717.2281837463379,723.5196590423584,97184000.0,1,0,0,1,-0.4386294782161712,0.9651827812194824,2019,2019-02,6.605568206564446,6.585508896026635,6.649961149393378,347.0797470313915
2019-02-12,ISAT.JK,683.6737060546875,748.6856228881087,658.5078027643309,736.1026712429305,105966000.0,2,1,0,1,0.0015637576580047,0.9979768693447114,2019,2019-02,6.528942383249556,6.602727192178543,6.61965394917175,723.5196590423584
2019-02-14,ISAT.JK,786.4345092773438,788.5316679687501,671.0907812500001,681.5765747070313,194750400.0,1,1,0,0,0.9799003005027772,0.9918487668037416,2019,2019-02,6.668780204419148,6.5258747181384,6.671439944314624,736.1026712429305
2019-02-15,ISAT.JK,775.9486694335938,794.8230965279243,734.005498112859,786.4344622637774,101940800.0,1,1,0,0,0.9696285128593444,0.9772399067878724,2019,2019-02,6.655374285680397,6.668780144714415,6.679376920602485,681.5765747070313
2019-04-04,ISAT.JK,505.4152221679688,520.0953323554202,488.63795338231006,488.63795338231006,7402400.0,1,0,1,0,0.0020877672359347,0.0038064178079366,2019,2019-04,6.2273569299515845,6.193666247356877,6.255933004583592,786.4344622637774
2019-05-10,ISAT.JK,429.9175415039063,434.1118589819931,400.557319157298,416.2860097001239,34046800.0,1,0,1,0,0.000565885216929,0.0015710465377196,2019,2019-05,6.065916752783472,6.03377186127496,6.075603145117081,488.63795338231006
2019-05-21,ISAT.JK,377.4885559082031,394.2658250596788,370.14850065443255,370.14850065443255,13437600.0,1,0,1,0,0.0016717304242774,0.0021762256510555,2019,2019-05,5.936185837039171,5.916602253825994,5.979558513389732,416.2860097001239
2019-06-24,ISAT.JK,497.026611328125,507.51240481606015,482.3465004450159,503.3180874208861,46860800.0,1,0,1,0,0.1264718472957611,0.1691892743110656,2019,2019-06,6.210653511998837,6.223207194830307,6.231489610109569,370.14850065443255
2019-08-26,ISAT.JK,715.1310424804688,727.7139933745533,641.7304955983092,685.7708237276049,43712000.0,1,0,1,0,0.9988035559654236,0.9996216893196106,2019,2019-08,6.573863170438606,6.532000646652706,6.591281327695581,503.3180874208861
2019-12-05,ISAT.JK,656.41064453125,656.41064453125,624.9532654003594,629.1475826178115,29622800.0,1,1,0,0,0.6152694821357727,0.9454814791679382,2019,2019-12,6.488308852962814,6.445954050074939,6.488308852962814,685.7708237276049
2020-01-24,ISAT.JK,490.7351379394531,507.51240761259686,488.6379792303102,505.4152489034539,10386800.0,1,0,0,1,0.0858473926782608,0.1025636196136474,2020,2020-01,6.197940234015202,6.227356982745188,6.231489615609015,629.1475826178115
2020-01-28,ISAT.JK,476.0550231933594,484.4436579632864,450.8891188835783,465.56922973095055,22393600.0,1,0,0,1,-0.994289755821228,0.9989774227142334,2020,2020-01,6.167631836842364,6.145406411701179,6.185063231487921,505.4152489034539
2020-01-30,ISAT.JK,480.2493286132813,494.9294390949099,471.86069405235054,490.7351218144446,11547200.0,1,0,0,1,-0.0033809670712798,0.0042870417237281,2020,2020-01,6.176385490511735,6.197940201223141,6.206433656715735,465.56922973095055
2020-02-20,ISAT.JK,482.3464660644531,492.8322588049847,469.7635147758152,482.3464660644531,17170800.0,1,0,1,0,0.7162763476371765,0.780417263507843,2020,2020-02,6.180733717545215,6.180733717545215,6.202195902450436,490.7351218144446
2020-03-05,ISAT.JK,469.7635192871094,486.5407878330776,463.47204358237127,473.9578364236014,12779600.0,4,1,0,2,-0.294034894555807,0.7807466723024844,2020,2020-03,6.154355885737974,6.16322603467076,6.189373954287888,482.3464660644531
2020-04-08,ISAT.JK,402.6544799804688,432.01470247904456,402.6544799804688,427.8203849792481,27157600.0,1,1,0,0,0.990497350692749,0.994064211845398,2020,2020-04,6.00055926445519,6.061038148223749,6.070771682342997,473.9578364236014
2020-04-23,ISAT.JK,425.7232360839844,452.9863004637469,425.7232360839844,450.8891416653036,40736800.0,2,0,2,0,0.2761042858764995,0.2818059468409046,2020,2020-04,6.056135644028834,6.113436887948211,6.118067022396083,427.8203849792481
2020-05-27,ISAT.JK,442.5004577636719,450.88909203407326,440.40329919607154,446.6947748988726,24276400.0,1,0,1,0,0.004675711505115,0.006068049930036,2020,2020-05,6.094698833910707,6.1041116941912605,6.113436778117661,450.8891416653036
2020-06-04,ISAT.JK,438.3061218261719,444.5975972590834,427.820329437986,436.20896334853467,30851200.0,1,0,0,1,-0.9982602000236512,0.9989691376686096,2020,2020-06,6.085196486295909,6.080411257804337,6.099416296451057,446.6947748988726
2020-06-05,ISAT.JK,469.7635192871094,473.9578364236014,432.0146650586809,432.0146650586809,86015200.0,4,2,1,1,0.2462348265107721,0.7497272714972496,2020,2020-06,6.154355885737974,6.070771595924764,6.16322603467076,436.20896334853467
2020-06-08,ISAT.JK,463.4720458984375,482.3464731069712,463.4720458984376,482.3464731069712,67458800.0,1,0,0,1,-0.6071608066558838,0.816959023475647,2020,2020-06,6.140901375384679,6.180733732115546,6.180733732115546,432.0146650586809
2020-06-09,ISAT.JK,448.79193115234375,473.9578338337836,448.79193115234375,467.6663581634237,28308400.0,1,0,0,1,-0.9865880012512208,0.996090292930603,2020,2020-06,6.108785100618969,6.149891125445008,6.163226029218029,482.3464731069712
2020-06-11,ISAT.JK,467.6663513183594,484.4436195270897,457.1805586879029,469.76350984445065,126876800.0,1,0,1,0,-0.0059567219577729,0.006549026351422,2020,2020-06,6.149891110839598,6.154355865679796,6.185063152310455,467.6663581634237
2020-06-15,ISAT.JK,471.8606872558594,513.8038594563802,471.8606872558594,478.1521630859375,187797600.0,1,0,1,0,0.8541526794433594,0.8586506843566895,2020,2020-06,6.158800814994958,6.172018215202909,6.243785972695385,469.76350984445065
2020-06-16,ISAT.JK,499.123779296875,501.2209380334165,482.34650940454304,492.8323030872505,93257600.0,2,0,1,1,0.4990427345619537,0.5009154418949038,2020,2020-06,6.21485562637837,6.202195992121094,6.219040138473679,478.1521630859375
2020-06-17,ISAT.JK,492.832275390625,507.5123857214096,488.637958153258,501.22090986535903,51125200.0,1,1,0,0,0.2343144714832306,0.279827743768692,2020,2020-06,6.20219593603601,6.2190400823866945,6.231489572559549,492.8323030872505
2020-06-18,ISAT.JK,524.2896728515625,530.5811489257812,480.2493403320313,482.3464990234375,95150000.0,2,1,0,1,-0.281707535032183,0.4869976644404232,2020,2020-06,6.263949868241751,6.180733785734362,6.275855865197883,501.22090986535903
2020-06-22,ISAT.JK,524.2896728515625,534.7754663085938,509.6095620117188,530.5811489257812,28054800.0,1,1,0,0,0.987217903137207,0.9885963201522828,2020,2020-06,6.263949868241751,6.275855865197883,6.28371516716443,482.3464990234375
2020-07-06,ISAT.JK,524.2896728515625,532.6783076171876,503.3180859375,503.3180859375,49955200.0,1,1,0,0,0.9613373279571532,0.964144229888916,2020,2020-07,6.263949868241751,6.223207191888937,6.27979323723971,530.5811489257812
2020-07-08,ISAT.JK,538.9697875976562,545.2612637174732,532.6783114778392,538.9697875976562,25999600.0,2,1,1,0,0.0409430442377924,0.0541745712980627,2020,2020-07,6.291513189099893,6.291513189099893,6.303097366274963,503.3180859375
2020-07-13,ISAT.JK,538.9697875976562,551.5527398372902,536.8726288910506,538.9697875976562,13088800.0,1,0,1,0,0.0035269283689558,0.0040608393028378,2020,2020-07,6.291513189099893,6.291513189099893,6.314548885555283,538.9697875976562
2020-07-21,ISAT.JK,536.8726196289062,545.2612543106079,534.7754609584808,534.7754609584808,16051600.0,1,1,0,0,0.9095288515090942,0.9958680868148804,2020,2020-07,6.287621765639153,6.283715157178693,6.303097349054512,538.9697875976562
2020-07-30,ISAT.JK,482.3464660644531,507.5123686417289,463.4720391314963,492.8322588049847,51673600.0,2,1,1,0,0.1019255719147622,0.1078400681726634,2020,2020-07,6.180733717545215,6.202195902450436,6.231489538972007,534.7754609584808
2020-08-04,ISAT.JK,486.5408020019531,488.637960631272,455.0834225621717,455.0834225621717,20395600.0,2,0,1,1,-0.0160290300846099,0.9953185617923735,2020,2020-08,6.189373983349816,6.122675736997422,6.1936662621616145,492.8322588049847
2020-08-26,ISAT.JK,524.2896728515625,532.6783076171876,511.706720703125,517.9981967773438,34704800.0,1,0,0,1,-0.6162400245666504,0.6635169982910156,2020,2020-08,6.263949868241751,6.2519004087424035,6.27979323723971,455.0834225621717
2020-09-14,ISAT.JK,473.9578247070313,492.8322513546564,471.8606661906284,473.9578247070313,23150800.0,1,0,1,0,-0.0021664670202881,0.0029376375023275,2020,2020-09,6.1632260100021075,6.1632260100021075,6.202195887363676,517.9981967773438
2020-10-02,ISAT.JK,419.4317321777344,434.1118428039551,416.28599418640135,434.1118428039551,11906400.0,1,0,1,0,0.003606223501265,0.0045544486492872,2020,2020-10,6.0412821170717965,6.075603107935749,6.075603107935749,473.9578247070313
2020-10-14,ISAT.JK,438.3061218261719,444.5975972590834,429.9174879156232,432.0146463932603,35826400.0,1,0,1,0,0.9939338564872742,0.9955376982688904,2020,2020-10,6.085196486295909,6.070771552819016,6.099416296451057,434.1118428039551
2020-11-24,ISAT.JK,486.5408020019531,490.7351192605907,478.1521674846781,484.4436433726344,32901600.0,1,1,0,0,0.9939282536506652,0.9975151419639589,2020,2020-11,6.189373983349816,6.185063201431595,6.197940196029585,432.0146463932603
2020-12-02,ISAT.JK,526.3868408203125,528.4839995486803,465.5692376976469,471.8607138827503,317728000.0,2,1,1,0,0.2423843567958101,0.2712166226701811,2020,2020-12,6.267934322565645,6.15880087130518,6.271902946546512,484.4436433726344
2020-12-03,ISAT.JK,520.0953369140625,534.7754472301853,513.8038610642956,530.5811299970073,103166000.0,1,0,1,0,0.7269089818000793,0.7291756272315979,2020,2020-12,6.255933013331784,6.275855829589445,6.283715131555467,471.8607138827503
2020-12-14,ISAT.JK,698.3538208007812,698.3538208007812,562.0385104342624,564.1356690552858,427096400.0,4,1,3,1,0.1880506753455847,0.5985424791928381,2020,2020-12,6.550156795570339,6.337065824543459,6.550156795570339,530.5811299970073
2020-12-15,ISAT.JK,710.936767578125,784.3373188030051,664.7992782367717,719.3254020038255,270410400.0,1,0,0,1,-0.0001421854249201,0.0012873297091573,2020,2020-12,6.567989097886886,6.579703057140248,6.666113330966983,564.1356690552858
2020-12-16,ISAT.JK,887.0980834960938,887.0980834960938,719.3253963100713,727.7140306693724,177081200.0,4,8,0,1,0.6044579114144047,0.6688075237002017,2020,2020-12,6.789082191280026,6.591281378874532,6.789082191280026,719.3254020038255
2020-12-17,ISAT.JK,826.280517578125,1048.5793370280774,826.280517578125,895.4867538219781,387940000.0,4,1,0,2,-0.5761182546615601,0.9949419021606444,2020,2020-12,6.718143836514911,6.798483517500422,6.956144731475537,727.7140306693724
2020-12-18,ISAT.JK,956.3043823242188,977.2759696558904,817.8919059351872,824.1833821346886,280490800.0,1,0,0,1,-0.0069923824630677,0.0080191064625978,2020,2020-12,6.864121399737942,6.715605643009217,6.885791807792477,895.4867538219781
2020-12-21,ISAT.JK,1153.437255859375,1195.380428799716,962.595818980824,968.8872949218752,354654000.0,4,7,3,1,0.5286088799211112,0.8975636667825959,2020,2020-12,7.051368279859358,6.877179873944564,7.087055968213196,824.1833821346886
2020-12-22,ISAT.JK,1101.00830078125,1258.295200892857,1074.7938174293154,1179.6517508370534,221829600.0,1,0,1,0,0.0019891839474439,0.0042901635169982,2020,2020-12,7.0048895221538645,7.073821896198808,7.138307479072162,968.8872949218752
