Date,Ticker,Open,High,Low,Close,Volume,total_tweet,positif_tweet,negatif_tweet,netral_tweet,avg_compound
2019-01-24,TINS.JK,999.1941528320312,1030.986694058505,858.3986131147905,858.3986131147905,152391400.0,1,0,0,1,0.0
2019-07-31,TINS.JK,958.7818603515624,981.9408424856582,954.1500639247432,977.309046058839,8852500.0,1,1,0,0,0.4939
2019-08-07,TINS.JK,926.3592529296876,940.2546417236327,893.9366790771484,907.8320678710936,42324400.0,1,1,0,0,0.5
2019-08-14,TINS.JK,991.2044677734376,995.836264351818,926.35931567611,926.35931567611,114988800.0,1,0,0,1,0.0
2019-08-23,TINS.JK,903.2003173828124,921.7275033804086,898.5685208834135,921.7275033804086,17789000.0,1,1,0,0,0.25
2019-08-28,TINS.JK,921.7274780273438,940.2546635153304,898.5684961673602,898.5684961673602,41821300.0,1,0,0,1,0.0
2019-09-02,TINS.JK,1028.2589111328125,1032.8907080298072,926.3593793989302,930.9911762959248,178709500.0,1,1,0,0,0.4588
2019-09-05,TINS.JK,1139.4219970703125,1190.3717611669524,968.0455178361598,1018.9952819327998,370749400.0,2,2,0,0,0.6739999999999999
2019-09-12,TINS.JK,1134.7901611328125,1162.5809405891264,1106.9993816764988,1106.9993816764988,138672200.0,4,2,0,2,0.213775
2019-11-04,TINS.JK,768.8782348632812,768.8782348632812,745.7192518854715,759.6146416721573,24033700.0,1,0,0,1,0.0
2020-11-20,TINS.JK,1023.626953125,1060.6813224688915,1018.9951569570136,1046.7859339649322,75947900.0,1,1,0,0,0.4201
2020-11-23,TINS.JK,1056.049560546875,1056.049560546875,1028.258782637747,1032.8905789559349,79268100.0,2,2,0,0,0.4498499999999999
2020-11-30,TINS.JK,991.2044677734376,1060.6814164491457,977.309078038296,1051.4178232923846,107404100.0,1,1,0,0,0.4019
2020-12-02,TINS.JK,1051.4178466796875,1079.2086267681375,995.8362865027876,1023.6270665912376,189623400.0,1,0,1,0,-0.34
2020-12-08,TINS.JK,1181.108154296875,1208.898934397978,1157.949170879289,1185.7399509803922,99138200.0,1,1,0,0,0.4703
2020-12-16,TINS.JK,1421.9615478515625,1519.2292758804967,1296.9030403857898,1296.9030403857898,332970600.0,6,3,2,1,0.1660833333333333
2020-12-23,TINS.JK,1375.6435546875,1394.170740609217,1283.007625078914,1384.9071476483584,79509000.0,1,0,0,1,0.0
2020-12-28,TINS.JK,1459.015869140625,1472.9112583705355,1347.8527553013394,1389.538922991071,104259400.0,4,2,1,1,0.262275
2021-01-04,TINS.JK,1496.0701904296875,1500.7019866848875,1375.6434877944805,1389.5388765600817,108911900.0,1,0,0,1,0.0
2021-01-05,TINS.JK,1514.597412109375,1611.8651358228212,1482.1748375382265,1496.0702266401472,259794600.0,3,2,1,0,0.2187666666666666
2021-01-06,TINS.JK,1486.8067626953125,1551.6519174546097,1421.9616079360155,1537.756527149046,145655600.0,1,1,0,0,0.8807
2021-01-07,TINS.JK,1681.3421630859375,1820.296060861635,1496.0702993850075,1509.9656891625775,464127300.0,5,3,0,2,0.21678
2021-01-08,TINS.JK,1681.3421630859375,1787.8734847139722,1681.3421630859375,1704.501146048554,184305100.0,1,1,0,0,0.2023
2021-01-11,TINS.JK,1621.1287841796875,1713.764714704241,1616.4969876534597,1639.6559702845982,102951700.0,1,1,0,0,0.1027
2021-01-13,TINS.JK,1783.24169921875,1815.664275568182,1672.0785803064125,1704.5011566558442,354456200.0,3,2,0,1,0.1661
2021-01-14,TINS.JK,2093.57177734375,2223.262064435841,1783.2414475162473,1801.768631386546,751709800.0,10,5,0,5,0.39073
2021-01-15,TINS.JK,2167.6806640625,2352.952515691773,2084.308330829327,2121.3627011551816,440772800.0,2,1,0,1,0.2997
