Date,Close,High,Low,Open,Volume
2025-05-02,1690.0,1725.0,1675.0,1675.0,42211700
2025-05-05,1680.0,1700.0,1640.0,1680.0,94900300
2025-05-06,1780.0,1790.0,1705.0,1710.0,177219800
2025-05-07,1855.0,1905.0,1780.0,1785.0,184953000
2025-05-08,1800.0,1970.0,1800.0,1885.0,230630800
2025-05-09,1805.0,1850.0,1775.0,1800.0,56077300
2025-05-14,1770.0,1800.0,1735.0,1790.0,84356500
2025-05-15,1830.0,1880.0,1765.0,1770.0,107538600
2025-05-16,1935.0,1955.0,1870.0,1890.0,103450700
2025-05-19,2070.0,2100.0,1955.0,1975.0,142470700
2025-05-20,2020.0,2170.0,1975.0,2080.0,123979500
2025-05-21,2050.0,2130.0,2040.0,2060.0,89310600
2025-05-22,2030.0,2110.0,2000.0,2090.0,63582900
2025-05-23,2040.0,2080.0,2010.0,2030.0,45740000
2025-05-26,2060.0,2130.0,2030.0,2100.0,103999000
2025-05-27,2040.0,2090.0,2020.0,2060.0,47152200
2025-05-28,2020.0,2080.0,2020.0,2050.0,64301800
2025-06-02,2120.0,2140.0,1965.0,2030.0,142590300
2025-06-03,2070.0,2170.0,2070.0,2150.0,85692300
2025-06-04,2240.0,2260.0,2080.0,2090.0,187577200
2025-06-05,2160.0,2290.0,2150.0,2270.0,74055300
2025-06-10,2140.0,2190.0,2090.0,2160.0,47349400
2025-06-11,2230.0,2260.0,2150.0,2150.0,61769000
2025-06-12,2190.0,2250.0,2170.0,2250.0,31088400
2025-06-13,2230.0,2300.0,2210.0,2240.0,87645500
2025-06-16,2200.0,2340.0,2170.0,2260.0,92169300
2025-06-17,2250.0,2270.0,2200.0,2220.0,36680900
2025-06-18,2240.0,2300.0,2240.0,2280.0,42443400
2025-06-19,2140.0,2250.0,2060.0,2250.0,113408100
2025-06-20,2020.0,2150.0,2020.0,2120.0,136012600
2025-06-23,2040.0,2090.0,1950.0,2010.0,57536400
2025-06-24,1995.0,2080.0,1990.0,2050.0,38833900
2025-06-25,1805.0,2030.0,1800.0,2000.0,128433500
2025-06-26,1830.0,1830.0,1750.0,1805.0,100625500
2025-06-30,2000.0,2040.0,1795.0,1830.0,129494900
2025-07-01,2030.0,2070.0,1975.0,2030.0,87941100
2025-07-02,1995.0,2080.0,1980.0,2020.0,56671300
2025-07-03,2090.0,2090.0,2010.0,2010.0,50084500
2025-07-04,2070.0,2130.0,2020.0,2090.0,39795000
2025-07-07,2050.0,2080.0,2020.0,2080.0,27996000
2025-07-08,2080.0,2120.0,2060.0,2060.0,28242400
2025-07-09,2110.0,2160.0,2080.0,2120.0,53690300
2025-07-10,2110.0,2170.0,2090.0,2150.0,41092900
2025-07-11,2110.0,2130.0,2080.0,2130.0,26909600
