Date,Close,High,Low,Open,Volume
2025-05-02,1814.5799560546875,1862.584716796875,1756.9742431640625,1819.3804321289062,79438300
2025-05-05,1838.5823974609375,1896.1881122638913,1790.577635125143,1833.7819212273582,25967500
2025-05-06,1872.1856689453125,1886.5870971679688,1833.7818603515625,1848.1832885742188,27720500
2025-05-07,1872.1856689453125,1876.9861450195312,1833.7818603515625,1872.1856689453125,29363700
2025-05-08,1790.57763671875,1876.9862090000838,1780.9766842430463,1872.185732762232,22152200
2025-05-09,1747.373291015625,1824.180908203125,1718.5704345703125,1790.5775756835938,26088800
2025-05-14,1809.779541015625,1838.5823984323192,1771.3757311266993,1780.9766835989305,16648000
2025-05-15,1881.78662109375,1900.988525390625,1814.5799560546875,1814.5799560546875,28935600
2025-05-16,1939.392333984375,1939.392333984375,1843.3828125,1891.3875732421875,41016900
2025-05-19,2016.199951171875,2045.0028076171875,1929.7913818359375,1939.392333984375,28894000
2025-05-20,1968.1951904296875,2073.8056640625,1920.1904296875,2035.40185546875,26534500
2025-05-21,2016.199951171875,2054.603759765625,1958.59423828125,1977.796142578125,23125400
2025-05-22,1996.998046875,2045.0028076171875,1987.3970947265625,2035.40185546875,13825200
2025-05-23,2035.40185546875,2045.0028076171875,1996.998046875,2016.199951171875,7605100
2025-05-26,2006.5989990234375,2045.0028076171875,2006.5989990234375,2035.40185546875,12912500
2025-05-27,2064.204833984375,2112.209597565407,2025.8010231195494,2035.4019758357558,15258300
2025-05-28,2006.5989990234375,2093.007568359375,2006.5989990234375,2073.8056640625,20327200
2025-06-02,1987.3970947265625,2025.8009033203125,1929.7913818359375,2006.5989990234375,19769200
2025-06-03,1996.998046875,1996.998046875,1929.7913818359375,1958.59423828125,17367600
2025-06-04,1987.3970947265625,2016.199951171875,1948.9932861328125,2006.5989990234375,15379400
2025-06-05,1996.998046875,2006.5989990234375,1948.9932861328125,1987.3970947265625,8142900
2025-06-10,2025.8009033203125,2045.0028076171875,1996.998046875,1996.998046875,14890500
2025-06-11,2016.199951171875,2045.0028076171875,1987.3970947265625,2035.40185546875,9833800
2025-06-12,2060.0,2120.0,2010.0,2030.0,13853400
2025-06-13,2090.0,2110.0,2070.0,2070.0,16283400
2025-06-16,2090.0,2110.0,2080.0,2080.0,9771200
2025-06-17,2090.0,2110.0,2080.0,2100.0,10767600
2025-06-18,2090.0,2100.0,2070.0,2090.0,9590800
2025-06-19,2090.0,2190.0,2080.0,2090.0,16619500
2025-06-20,2100.0,2120.0,2080.0,2090.0,18810900
2025-06-23,2020.0,2090.0,1900.0,2090.0,18392000
2025-06-24,2060.0,2090.0,2040.0,2040.0,8504200
2025-06-25,2050.0,2070.0,2050.0,2060.0,3032100
2025-06-26,2090.0,2120.0,2040.0,2060.0,27008900
2025-06-30,2090.0,2160.0,2090.0,2120.0,23126600
2025-07-01,2100.0,2150.0,2100.0,2130.0,3308500
2025-07-02,2120.0,2170.0,2090.0,2120.0,14476600
2025-07-03,2110.0,2150.0,2070.0,2140.0,9957800
2025-07-04,2090.0,2120.0,2080.0,2110.0,6765000
2025-07-07,2080.0,2110.0,2070.0,2100.0,11085600
2025-07-08,2110.0,2120.0,2080.0,2100.0,7519700
2025-07-09,2090.0,2120.0,2070.0,2110.0,8809700
2025-07-10,2100.0,2110.0,2090.0,2090.0,3475500
2025-07-11,2100.0,2120.0,2090.0,2110.0,9712000
